1.jpg:21475, 104009, 37, 0, 23, 273718, 1571, 0, 0, 0, 0, 0, 0, 0, 0, 0, 5322, 22276, 32, 0, 7412, 6668, 1030, 0, 2, 7, 87, 34, 0, 0, 0, 0, 28, 160, 0, 0, 707, 38267, 4280, 0, 493, 1801, 985, 147, 8, 19, 1, 42, 0, 0, 0, 0, 0, 1, 0, 0, 1521, 12541, 2660, 462, 20493, 3149, 2179, 7313
2.jpg:11251, 99, 0, 0, 37, 45, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 5638, 100, 0, 0, 12680, 80098, 1163, 0, 0, 85, 1451, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 10564, 98, 0, 0, 3530, 28305, 3087, 0, 0, 2, 408, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 101, 99, 0, 0, 50, 1109
968361.jpg:282973, 4663, 1697, 1032, 2446, 2369, 1482, 677, 985, 1070, 1068, 1007, 530, 1154, 1129, 807, 32752, 7806, 2894, 902, 2331, 1552, 323, 12, 1219, 1102, 622, 134, 1006, 399, 302, 183, 2612, 2082, 2416, 995, 1952, 764, 127, 2, 879, 590, 4, 0, 1196, 206, 0, 0, 652, 1402, 1415, 800, 975, 63, 5, 2, 1024, 330, 1, 0, 1119, 331, 1, 0
aid104549-728px-Create-a-Random-Abstract-Drawing-Step-6.jpg:30695, 361, 0, 0, 15, 852, 249, 0, 0, 0, 209, 179, 0, 0, 0, 0, 396, 44, 0, 0, 10, 2090, 397, 0, 0, 34, 242592, 3966, 0, 0, 0, 0, 0, 0, 0, 0, 0, 2, 1, 0, 0, 11, 101056, 131, 0, 0, 1028, 11064, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 6, 4, 0, 0, 40, 2056
childrensbook.jpg:7667, 590, 0, 0, 126, 126, 1, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1536, 50, 0, 0, 1343, 1366, 159, 0, 199, 46, 188, 1430, 1, 0, 0, 0, 348, 6, 0, 0, 400, 598, 18, 0, 4224, 988, 1254, 130, 21, 19, 16, 3437, 1079, 3, 0, 0, 1506, 277, 1, 0, 1703, 920, 7189, 16, 265674, 3099, 3086, 16060
cropped-vector-april30.jpg:35765, 860, 0, 0, 1, 362, 9, 0, 0, 0, 0, 0, 0, 0, 0, 0, 22491, 413, 0, 0, 35820, 2292, 994, 0, 0, 0, 735, 1147, 0, 0, 0, 0, 0, 0, 0, 0, 4, 48, 5, 0, 0, 21, 1761, 1039333, 0, 0, 1, 7406, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 15, 6, 0, 0, 2, 115009
dev_random.png:248496, 0, 0, 0, 18788, 0, 0, 0, 16976, 0, 0, 0, 38222, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0
DSC_0070.jpg:292077, 2, 0, 0, 21, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 9343, 3, 0, 0, 14619, 3663, 0, 0, 0, 4, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 857, 6125, 7, 0, 1, 7499, 1357, 3, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1314, 1762, 10, 0, 0, 1209, 327124
p039bvgt.jpg:11543, 179, 0, 0, 2985, 63525, 156, 0, 0, 3787, 17239, 0, 0, 0, 0, 0, 909, 29, 0, 0, 472, 382, 10, 0, 14, 90, 240, 0, 0, 0, 0, 0, 3617, 34, 0, 0, 1190, 1518, 51, 0, 66, 700, 211, 14, 0, 13, 24, 10, 1385, 26, 0, 0, 4076, 12553, 153, 0, 0, 364, 1006, 268, 0, 18, 184, 559
Peg-leg-puppy-random-7503700-329-306.jpg:1373, 6, 0, 0, 0, 1, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 4130, 94, 0, 0, 2447, 7663, 4, 0, 0, 3, 2, 0, 0, 0, 0, 0, 0, 0, 0, 0, 511, 20963, 23, 0, 0, 15024, 18531, 1, 0, 0, 6, 1, 0, 0, 0, 0, 0, 94, 2, 0, 0, 5903, 13278, 3, 0, 0, 3409, 7202
